i,j
1307,3200
1309,1360
1309,3445
1310,3042
1310,3616
1311,1660
1311,2871
1313,2790
1313,3098
1314,1988
1314,3448
1315,3282
1316,1408
1316,2950
1317,1457
1317,1581
1318,2928
1318,3102
1319,1822
1319,4330
1322,2663
1323,1594
1323,3743
1324,2218
1325,4342
1326,1403
1326,2336
1327,2257
1328,2717
1328,3391
1329,2226
1330,2849
1331,1897
1331,3609
1333,3119
1333,4177
1335,1642
1335,2215
1336,3612
1336,3660
1337,3133
1338,1487
1338,1886
1339,3685
1339,3988
1340,1752
1340,3758
1341,2217
1341,3207
1342,1925
1342,3813
1343,1571
1343,2282
1344,2416
1344,3307
1345,2494
1345,4023
1346,2497
1347,2778
1347,2965
1348,1753
1348,4258
1349,2393
1350,3234
1350,3383
1351,2547
1352,2743
1352,3628
1353,1961
1354,3762
1354,4355
1355,2337
1355,3504
1356,1669
1356,2627
1357,2298
1357,3633
1359,3124
1359,4035
1360,3463
1361,2035
1361,3746
1362,2921
1363,1941
1364,2687
1365,1916
1365,3924
1366,1378
1367,2337
1367,3047
1368,3319
1368,4243
1369,3146
1369,3810
1370,3116
1371,1537
1371,2784
1372,2914
1374,2389
1374,2399
1375,1538
1375,2640
1376,2248
1377,3853
1379,2274
1379,4124
1380,3505
1381,3058
1381,4320
1382,3965
1384,1691
1384,3860
1385,2105
1385,2177
1386,1520
1387,3158
1387,3745
1388,2977
1389,2095
1389,2506
1390,3432
1392,1602
1392,4332
1393,1678
1394,1448
1394,3980
1395,1695
1396,2084
1397,2123
1397,3736
1398,3257
1398,4349
1399,1833
1399,3400
1400,1415
1400,3011
1401,1835
1401,1871
1402,2862
1402,4424
1403,2727
1404,2697
1404,3691
1405,1513
1405,1811
1406,2433
1406,3792
1407,1946
1407,3737
1408,2205
1409,1771
1409,2836
1410,3071
1410,4159
1412,2747
1413,4006
1413,4131
1414,3584
1414,4053
1415,3197
1416,2908
1416,3153
1417,2613
1417,2808
1418,3136
1419,1617
1419,2798
1420,3246
1420,3516
1421,2496
1421,2561
1423,1551
